subset,token_count,split
tsn_Latn,367973576,"fineweb2,madlad400,extraData"
gaz_Latn,372118796,"wura_documentLevel,fineweb2,madlad400"
aeb_Arab,546611804,fineweb2
tir_Ethi,568922096,"wura_documentLevel,fineweb2,madlad400"
sot_Latn,812963772,"fineweb2,madlad400"
nya_Latn,921039848,"wura_documentLevel,fineweb2"
yor_Latn,1030723800,"wura_documentLevel,fineweb2,madlad400"
sna_Latn,1050640992,"wura_documentLevel,fineweb2,madlad400"
xho_Latn,1070793848,"wura_documentLevel,fineweb2,madlad400"
plt_Latn,1070793848,fineweb2
ibo_Latn,1070793848,"wura_documentLevel,fineweb2,madlad400"
zul_Latn,1070793848,"wura_documentLevel,fineweb2,madlad400"
kin_Latn,1070793848,"wura_documentLevel,fineweb2,madlad400"
hau_Latn,1070793848,"wura_documentLevel,madlad400"
arz_Arab,1070793848,"wura_documentLevel,fineweb2"
amh_Ethi,1070793848,"wura_documentLevel,fineweb2,madlad400"
arb_Arab,1070793848,fineweb2
eng_Latn,1070793848,"finewebEdu,wura_documentLevel"
por_Latn,1070793849,"wura_documentLevel,fineweb2"
fra_Latn,1070793848,"wura_documentLevel,fineweb2"
som_Latn,1070793849,"wura_documentLevel,fineweb2,madlad400"
swh_Latn,1070793849,"wura_documentLevel,fineweb2,madlad400"
ary_Arab,1070793849,fineweb2
afr_Latn,1070793849,"wura_documentLevel,fineweb2,madlad400"
